date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,total_deaths_per_million,icu_patients,hosp_patients,weekly_hosp_admissions,daily_case_change_rate,daily_death_change_rate,hospitalization_rate,icu_rate,case_fatality_rate,7day_avg_new_cases,7day_avg_new_deaths,hospitalization_need,icu_requirement
5/8/2021,32297511,42692,579222,671,95472.892,1712.206,8468,30635,30794,0.132358517,0.11597940371721766,0.09485251,0.026218739,1.7933951628656464,43284.857142857145,635.8571428571429,Medium,Medium
5/9/2021,32342152,44641,580028,806,95604.853,1714.589,8359,30154,30187,0.1382180812632899,0.1391521730873482,0.093234365,0.025845528151620834,1.7934118917009603,41760.57142857143,635.8571428571429,Medium,Medium
5/10/2021,32379173,37021,580637,609,95714.289,1716.389,8341,29987,29502,0.11446671823198407,0.10499493127917962,0.092612001,0.025760386159337668,1.7932422177675755,40141.857142857145,634.8571428571429,Medium,Medium
5/11/2021,32406711,27538,581045,408,95795.692,1717.595,8298,29482,28806,0.085048497,0.070267654,0.090974984,0.025605807389710116,1.7929773866900593,38848.28571428572,621.7142857142857,Medium,Medium
5/12/2021,32431094,24383,581440,395,95867.77,1718.763,8114,29113,28202,0.075240588,0.067980965,0.089768788,0.025019199167317638,1.7928473211541986,37624,611,Medium,Medium
5/13/2021,32464167,33073,582038,598,95965.535,1720.53,7917,28174,27569,0.10197929184874244,0.10284810126582279,0.086784916,0.024386887857002458,1.792862881712012,36269.857142857145,600.1428571428571,Medium,Medium
5/14/2021,32499951,35784,582717,679,96071.314,1722.538,7628,27422,26924,0.11022614564544347,0.11665904975276528,0.084375512,0.023470804617520807,1.7929780878746553,35018.857142857145,595.1428571428571,Medium,Medium
5/15/2021,32540386,40435,583300,583,96190.842,1724.261,7409,26184,26272,0.12441557219578576,0.10004856559873833,0.080466163,0.022768629726764765,1.7925417356757845,34696.42857142857,582.5714285714286,Medium,Medium
5/16/2021,32575502,35116,584001,701,96294.646,1726.333,7270,25646,25800,0.10791513044743845,0.12017829590262302,0.078727873,0.022317384395181387,1.7927613210688205,33335.71428571428,567.5714285714286,Medium,Medium
5/17/2021,32605339,29837,584443,442,96382.846,1727.64,7299,25563,25228,0.09159337,0.075684802,0.07840127,0.022385904,1.7924763794052259,32309.428571428572,543.7142857142857,Medium,Medium
5/18/2021,32626714,21375,584880,437,96446.031,1728.932,7163,25023,24702,0.065556748,0.074772048,0.076694821,0.021954402,1.7926414532582104,31429,547.8571428571429,Medium,Medium
5/19/2021,32646167,19453,585242,362,96503.535,1730.002,7056,24925,24294,0.059622921266297306,0.061893038,0.076348932,0.021613563393215504,1.7926821240606898,30724.714285714286,543.1428571428571,Medium,Medium
5/20/2021,32673806,27639,585852,610,96585.237,1731.805,6841,23954,23785,0.084662313,0.10423038674599568,0.073312549,0.020937260874965103,1.793032620687042,29948.428571428572,544.8571428571429,Medium,Medium
5/21/2021,32701297,27491,586435,583,96666.502,1733.528,6664,23397,23350,0.084137734,0.099513188,0.071547621,0.020378396612219997,1.7933080758234146,28763.714285714286,531.1428571428571,Medium,Medium
5/22/2021,32729245,27948,586976,541,96749.117,1735.127,6472,22643,23040,0.0854645,0.092252338,0.069182775,0.019774363875488112,1.7934296987296834,26979.85714285714,525.1428571428571,Medium,Medium
5/23/2021,32757111,27866,587625,649,96831.491,1737.046,6412,22445,22858,0.08514098,0.11056670119391594,0.068519474,0.019574375774469244,1.7938853032552229,25944.14285714286,517.7142857142857,Medium,Medium
5/24/2021,32779335,22224,588034,409,96897.186,1738.255,6419,22431,22662,0.067844811,0.069602212,0.068430308,0.019582459,1.793916807647257,24856.571428571428,513,Medium,Medium
5/25/2021,32795365,16030,588321,287,96944.571,1739.103,6311,22087,22320,0.048902761450163645,0.048806702,0.067347932,0.019243573,1.7939150852567123,24093,491.57142857142856,Medium,Medium
5/26/2021,32810126,14761,588876,555,96988.205,1740.744,6138,21598,21811,0.045009409,0.094336255,0.065827239,0.018707639220891747,1.794799569,23422.714285714286,519.1428571428571,Medium,Medium
5/27/2021,32834697,24571,589394,518,97060.838,1742.275,6000,21056,21585,0.074888466,0.087964189,0.064127286,0.018273352728060806,1.7950340763004453,22984.428571428572,506,Medium,Medium
5/28/2021,32858172,23475,589911,517,97130.231,1743.803,5778,20398,21110,0.071494493,0.087717215,0.062078925,0.017584666608964128,1.7953250716442777,22410.714285714286,496.57142857142856,Medium,Medium
5/29/2021,32880142,21970,590456,545,97195.176,1745.414,5606,19474,20479,0.066863123,0.092386818,0.059227238,0.017049805,1.795782999,21556.714285714286,497.14285714285717,Medium,Medium
5/30/2021,32904922,24780,591159,703,97268.427,1747.493,5525,19062,19929,0.075364638,0.11906052271464768,0.057930543035476574,0.016790801084409196,1.796567091087467,21115.85714285714,504.85714285714283,Medium,Medium
5/31/2021,32920550,15628,591460,301,97314.624,1748.382,5542,18678,19312,0.047494414,0.050916928,0.056736598,0.016834469654972352,1.7966285496445231,20173.571428571428,489.42857142857144,Medium,Medium
6/1/2021,32932900,12350,591714,254,97351.131,1749.133,5489,18657,18348,0.037514562,0.042944578,0.056651555,0.016667223354153445,1.7967260702823014,19647.85714285714,484.7142857142857,Medium,Medium
6/2/2021,32942308,9408,591946,232,97378.941,1749.819,5322,18083,17944,0.028567177503347717,0.039208131,0.054892936,0.016155516486580115,1.7969172044654553,18883.14285714286,438.57142857142856,Medium,Medium
6/3/2021,32951243,8935,592278,332,97405.353,1750.8,5175,17634,17407,0.027123175,0.056086197051758095,0.053515432,0.015705022,1.7974375048613493,16649.428571428572,412,Medium,Medium
6/4/2021,32967291,16048,592770,492,97452.792,1752.255,4995,16970,17004,0.04870226,0.083069099,0.051475264,0.015151381410137704,1.7980549266240893,15588.42857142857,408.42857142857144,Medium,Medium
6/5/2021,32985442,18151,593248,478,97506.447,1753.668,4768,16298,16684,0.055057602,0.080638359,0.049409676,0.014454861632595375,1.7985146295750714,15042.857142857143,398.85714285714283,Medium,Medium
6/6/2021,33004034,18592,593834,586,97561.406,1755.4,4677,15987,16356,0.056364259,0.098778251,0.048439533,0.014170994975947485,1.7992770217119518,14158.857142857143,382.14285714285717,Medium,Medium
6/7/2021,33018768,14734,594228,394,97604.96,1756.565,4685,15742,16073,0.044643027576568364,0.066348508,0.047675916,0.014188900082522764,1.7996673891648531,14031.142857142857,395.42857142857144,Medium,Medium
6/8/2021,33029852,11084,594651,423,97637.725,1757.815,4608,15630,16128,0.033568787303027176,0.071184798,0.04732083,0.013951016,1.8003441250660162,13850.285714285714,419.57142857142856,Medium,Medium
6/9/2021,33039750,9898,594973,322,97666.984,1758.767,4478,15262,15698,0.029966831216803512,0.054149409,0.046192843,0.013553371317882246,1.8007793642506376,13920.285714285714,432.42857142857144,Medium,Medium
6/10/2021,33054064,14314,595286,313,97709.297,1759.692,4383,14838,15412,0.043323572,0.052607429,0.044890093,0.013260094129423843,1.800946473631805,14688.714285714286,429.7142857142857,Medium,Medium
6/11/2021,33073704,19640,595673,387,97767.354,1760.836,4300,14421,15195,0.059417807,0.065010768,0.043602615540128196,0.013001265295232732,1.8010471400481782,15201.857142857143,414.7142857142857,Medium,Medium
6/12/2021,33089628,15924,596055,382,97814.426,1761.965,4186,13940,14948,0.048147011293322335,0.064129145,0.042128004581979586,0.012650489754674789,1.8013348472820545,14883.714285714286,401,Medium,Medium
6/13/2021,33103599,13971,596458,403,97855.725,1763.157,4049,13957,14824,0.04222169,0.06761121,0.042161579,0.012231298476035794,1.8017920045491125,14223.57142857143,374.85714285714283,Medium,Medium
6/14/2021,33115949,12350,596666,208,97892.232,1763.771,4068,13929,14716,0.037307122,0.034872531,0.042061304,0.012284111,1.8017481546429486,13883,348.2857142857143,Medium,Medium
6/15/2021,33124670,8721,596818,152,97918.011,1764.221,3939,13722,14392,0.026334742815312347,0.025474888798758435,0.041425318,0.011891439,1.8017326663178832,13545.42857142857,309.57142857142856,Medium,Medium
6/16/2021,33132945,8275,597017,199,97942.473,1764.809,3879,13494,14229,0.024981380946587545,0.033343498,0.040726835,0.011707380675035075,1.8018832916904912,13313.57142857143,292,Medium,Medium
6/17/2021,33145561,12616,597333,316,97979.766,1765.743,3806,13094,13967,0.038076905,0.052929816,0.039504536,0.011482683910524248,1.8021508219456597,13071,292.42857142857144,Medium,Medium
6/18/2021,33158781,13220,597669,336,98018.845,1766.736,3739,12855,13736,0.039884677,0.056250031389526445,0.038768011,0.011276047813699785,1.8024456327269691,12153.857142857143,285.14285714285717,Medium,Medium
6/19/2021,33172265,13484,597948,279,98058.704,1767.561,3673,12482,13550,0.040664944830149215,0.046681357,0.037627819505240294,0.011072503,1.8025540312064912,11805.285714285714,270.42857142857144,Medium,Medium
6/20/2021,33184226,11961,598220,272,98094.062,1768.365,3663,12502,13336,0.036057230339863744,0.045488905,0.037674526,0.011038377089162785,1.8027239809661373,11518.142857142857,251.71428571428572,Medium,Medium
6/21/2021,33196576,12350,598471,251,98130.569,1769.107,3708,12592,13180,0.037216477,0.041957808,0.037931622827607286,0.011169826671280797,1.8028094222729476,11518.142857142857,257.85714285714283,Medium,Medium
6/22/2021,33205623,9047,598694,223,98157.312,1769.766,3744,12538,13203,0.027252811,0.037261622,0.037758665,0.011275199,1.802989812900062,11564.714285714286,268,Medium,Medium
6/23/2021,33214191,8568,598960,266,98182.64,1770.553,3700,12608,13120,0.025802858750760375,0.044430043,0.037959678,0.011139816712681636,1.803325572493998,11606.57142857143,277.57142857142856,Medium,Medium
6/24/2021,33227479,13288,599268,308,98221.919,1771.463,3636,12396,13155,0.040006996,0.051422466,0.037306472,0.01094275,1.8035313482554605,11702.57142857143,276.42857142857144,Medium,Medium
6/25/2021,33241320,13841,599594,326,98262.834,1772.427,3617,12408,13092,0.041655282,0.054399701,0.037327038,0.010881036011806993,1.8037611021463649,11791.285714285714,275,Medium,Medium
